*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.8.2.010 -develop  JUL 08, 2024 16:11:18

*RUN   1        : 0 KG N/HA                 CSCER048 RORO7401    1
 MODEL          : CSCER048 - Wheat
 EXPERIMENT     : RORO7401 WH N RESPONSE,ROTHAMSTED  8FE(N)  (DSSAT3)
 DATA PATH      : C:\DSSAT48\Wheat\
 TREATMENT  1   : 0 KG N/HA                 CSCER048
  
!              |------------------------------ Cumulative -----------------------------|------------------------------ Daily ----------------------------------|
!               N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                                   Nitrification (g[N]/ha) by soil depth (cm):                                     N2O flux (g[N]/ha) by soil depth (cm):                                          N2 flux (g[N]/ha) by soil depth (cm):                                           NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155     0-5    5-15   15-25   25-35   35-45   45-55   55-65   65-95  95-125 125-155
@YEAR DOY   DAS   N2OEC    N2EC    NOEC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC  N2OGED   N2GED   NOGED    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NDN10   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   NIT10   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2O10   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   N2F10   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   NOF10
 1974 315    11    0.00    0.01    0.01    0.06    21.6   0.010   0.022   0.054   0.047     0.7     2.8     1.7    32.8    1061    5.35    1.06   27.43    7.74     5.3    11.9     5.8     5.9     3.9     0.0     0.0     0.0     0.0     0.0     34.     88.    128.     77.     65.     94.     94.    278.    135.     68.     0.6     2.1     1.2     1.1     0.7     0.1     0.1     0.3     0.1     0.1     4.7     9.9     4.8     4.9     3.2     0.0     0.0     0.0     0.0     0.0     1.6     3.0     1.4     0.7     0.5     0.1     0.1     0.2     0.1     0.1
 1974 316    12    0.00    0.01    0.01    0.12    22.5   0.019   0.023   0.096   0.056     0.7     3.5     1.8    51.5     914    8.59    0.91   42.94    8.29     5.0    17.0    10.2    11.5     7.8     0.0     0.0     0.0     0.0     0.0     30.     68.    109.     64.     57.     83.     83.    245.    118.     60.     0.5     2.9     2.0     2.1     1.4     0.1     0.1     0.2     0.1     0.1     4.5    14.1     8.4     9.5     6.4     0.0     0.0     0.0     0.0     0.0     1.2     2.9     1.7     1.1     0.9     0.1     0.1     0.2     0.1     0.1
 1974 317    13    0.00    0.01    0.01    0.16    23.3   0.026   0.023   0.133   0.063     1.0     4.7     2.2    44.1     761    7.56    0.76   36.58    7.71     2.6     9.0     8.9    13.2    10.4     0.0     0.0     0.0     0.0     0.0     37.     80.    100.     55.     48.     22.     68.    202.     98.     50.     0.3     1.5     1.7     2.4     1.9     0.0     0.1     0.2     0.1     0.1     2.4     7.6     7.3    10.8     8.5     0.0     0.0     0.0     0.0     0.0     1.1     2.5     1.6     1.2     1.0     0.0     0.1     0.2     0.1     0.0
 1974 318    14    0.00    0.02    0.01    0.22    23.8   0.036   0.024   0.185   0.069     0.9     4.5     1.9    61.7     526    9.93    0.53   51.73    5.82     2.1    10.9    16.6    15.9    16.1     0.0     0.0     0.0     0.0     0.0     23.     51.     61.     45.     34.     12.     11.    167.     81.     42.     0.1     1.3     2.8     2.9     3.0     0.0     0.0     0.2     0.1     0.0     2.0     9.7    13.8    13.0    13.2     0.0     0.0     0.0     0.0     0.0     0.3     1.3     1.4     1.3     1.3     0.0     0.0     0.1     0.1     0.0
 1974 319    15    0.01    0.02    0.01    0.28    24.2   0.045   0.024   0.233   0.074     1.0     5.0     1.9    57.2     374    9.04    0.37   48.21    5.05     1.4     9.3    15.4    15.3    15.8     0.0     0.0     0.0     0.0     0.0     22.     48.     58.     43.     33.     12.     11.     43.     69.     36.     0.1     1.0     2.5     2.8     2.9     0.0     0.0     0.0     0.1     0.0     1.4     8.4    12.9    12.6    12.9     0.0     0.0     0.0     0.0     0.0     0.2     1.0     1.3     1.2     1.3     0.0     0.0     0.0     0.1     0.0
 1974 320    16    0.01    0.03    0.02    0.33    24.6   0.054   0.025   0.278   0.079     1.1     5.5     1.9    53.5     357    8.33    0.36   45.15    4.77     1.2     8.7    12.8    15.1    15.8     0.0     0.0     0.0     0.0     0.0     22.     46.     62.     43.     33.     11.     10.     39.     60.     32.     0.1     0.9     2.0     2.7     2.9     0.0     0.0     0.0     0.1     0.0     1.2     7.8    10.8    12.4    12.9     0.0     0.0     0.0     0.0     0.0     0.1     0.9     1.2     1.2     1.3     0.0     0.0     0.0     0.1     0.0
 1974 321    17    0.01    0.04    0.02    0.39    24.9   0.063   0.025   0.329   0.084     1.1     6.0     1.9    60.6     337    9.55    0.34   51.10    5.28     1.2     7.5    10.8    14.9    15.7    10.5     0.0     0.0     0.0     0.0     20.     45.     63.     41.     32.     11.     10.     36.     52.     28.     0.1     0.7     1.7     2.6     2.9     1.8     0.0     0.0     0.1     0.0     1.2     6.8     9.3    12.3    12.9     8.7     0.0     0.0     0.0     0.0     0.1     0.8     1.1     1.1     1.2     0.8     0.0     0.0     0.0     0.0
 1974 322    18    0.01    0.04    0.02    0.46    25.2   0.072   0.025   0.384   0.089     1.2     6.3     1.8    63.8     258    9.30    0.26   54.54    4.49     0.6     4.9    10.4    12.7    14.6    10.6    10.2     0.0     0.0     0.0     19.     39.     50.     40.     31.     10.     10.     25.      9.     24.     0.0     0.3     1.2     2.0     2.5     1.8     1.7     0.0     0.0     0.0     0.6     4.6     9.2    10.7    12.1     8.8     8.5     0.0     0.0     0.0     0.1     0.3     0.6     0.9     1.1     0.8     0.7     0.0     0.0     0.0
 1974 323    19    0.01    0.05    0.02    0.54    25.4   0.084   0.025   0.453   0.094     1.2     6.6     1.8    81.3     236   11.71    0.24   69.60    5.67     0.6     4.5     8.5    12.4    14.5    10.6    10.3    19.9     0.0     0.0     16.     36.     53.     38.     30.     10.      9.     28.      9.      6.     0.0     0.3     1.0     1.9     2.5     1.8     1.7     2.8     0.0     0.0     0.6     4.3     7.6    10.6    12.1     8.8     8.6    17.1     0.0     0.0     0.1     0.3     0.6     0.8     1.1     0.8     0.7     1.4     0.0     0.0
 1974 324    20    0.01    0.06    0.02    0.61    25.6   0.095   0.026   0.520   0.100     1.3     7.1     1.8    77.3     208   11.01    0.21   66.29    5.25     0.4     3.7     8.7    11.2    13.4    10.0     9.8    20.1     0.0     0.0     15.     32.     42.     35.     27.      9.      8.     25.      9.      5.     0.0     0.2     0.9     1.6     2.2     1.7     1.6     2.9     0.0     0.0     0.4     3.6     7.8     9.6    11.2     8.3     8.2    17.2     0.0     0.0     0.0     0.2     0.5     0.7     1.0     0.7     0.7     1.4     0.0     0.0
 1974 325    21    0.01    0.06    0.03    0.69    25.8   0.106   0.026   0.586   0.105     1.3     7.1     1.7    77.2     181   10.93    0.18   66.26    4.97     0.0     3.1     7.6    10.3    12.7     9.7     9.7    24.1     0.0     0.0     12.     27.     37.     32.     25.      8.      8.     20.      8.      4.     0.0     0.2     0.7     1.4     2.1     1.6     1.6     3.5     0.0     0.0     0.0     3.0     6.9     8.9    10.7     8.1     8.1    20.6     0.0     0.0     0.0     0.2     0.4     0.6     0.9     0.7     0.7     1.5     0.0     0.0
 1974 326    22    0.01    0.07    0.03    0.78    25.9   0.118   0.026   0.662   0.110     1.3     7.4     1.6    88.1     174   11.52    0.17   76.53    5.15     0.0     2.3     6.1     8.9    11.6     9.3     9.6    25.4    15.0     0.0     12.     26.     36.     31.     24.      8.      7.     19.      7.      4.     0.0     0.1     0.5     1.1     1.7     1.5     1.6     3.8     1.4     0.0     0.0     2.2     5.6     7.8     9.9     7.8     8.0    21.7    13.6     0.0     0.0     0.1     0.2     0.5     0.8     0.7     0.7     1.6     0.6     0.0
 1974 327    23    0.02    0.08    0.03    0.87    26.2   0.128   0.026   0.737   0.115     1.6     8.9     1.9    85.6     201   10.64    0.20   74.92    5.13     0.0     1.3     4.2     8.8    11.6     9.4     9.7    18.7    13.4     8.3     16.     35.     44.     32.     24.      8.      7.     23.      8.      4.     0.0     0.1     0.3     1.1     1.7     1.5     1.6     2.8     1.3     0.5     0.0     1.3     3.9     7.8     9.9     7.9     8.1    16.0    12.1     7.8     0.1     0.1     0.2     0.5     0.7     0.7     0.7     1.4     0.6     0.2
 1974 328    24    0.02    0.09    0.03    0.94    26.4   0.138   0.026   0.803   0.120     1.8    10.1     2.0    75.5     221    9.48    0.22   66.02    4.87     0.0     0.8     2.8     8.7    11.6     9.4     9.8    13.6    11.1     7.5     17.     39.     51.     33.     25.      8.      8.     26.      9.      4.     0.0     0.1     0.2     1.0     1.7     1.5     1.6     2.0     1.1     0.4     0.0     0.8     2.6     7.7     9.9     7.9     8.2    11.7    10.0     7.1     0.1     0.1     0.2     0.4     0.7     0.7     0.7     1.1     0.6     0.2
 1974 329    25    0.02    0.10    0.03    1.01    26.6   0.146   0.027   0.861   0.124     1.7     9.4     1.7    65.9     221    8.33    0.22   57.55    4.48     0.0     0.7     2.0     7.4    10.7     9.0     9.6    11.0     9.0     6.5     12.     38.     53.     36.     26.      8.      7.     27.      9.      5.     0.0     0.1     0.2     0.9     1.5     1.4     1.6     1.6     0.9     0.4     0.0     0.7     1.9     6.5     9.1     7.6     8.1     9.4     8.1     6.1     0.0     0.1     0.2     0.4     0.7     0.6     0.7     1.0     0.5     0.2
 1974 330    26    0.02    0.11    0.03    1.04    26.9   0.150   0.027   0.889   0.127     2.1    11.9     2.1    31.6     258    3.90    0.26   27.66    2.92     0.0     0.3     0.9     3.4     5.0     4.3     4.6     5.2     4.5     3.4     16.     39.     56.     46.     35.     11.     10.     29.     11.      6.     0.0     0.0     0.1     0.4     0.7     0.7     0.7     0.8     0.5     0.2     0.0     0.3     0.9     3.1     4.3     3.6     3.9     4.5     4.1     3.1     0.1     0.1     0.2     0.3     0.4     0.4     0.4     0.6     0.3     0.1
 1974 331    27    0.02    0.12    0.04    1.07    27.1   0.153   0.027   0.912   0.130     2.2    12.5     2.1    26.5     242    3.29    0.24   23.21    2.57     0.2     0.2     0.7     2.6     4.2     3.7     4.2     4.3     3.6     2.7     14.     34.     51.     45.     34.     10.     10.     28.     10.      6.     0.0     0.0     0.1     0.3     0.6     0.6     0.7     0.6     0.4     0.2     0.2     0.2     0.6     2.4     3.6     3.2     3.5     3.7     3.2     2.6     0.1     0.1     0.2     0.2     0.4     0.4     0.4     0.5     0.3     0.1
 1974 332    28    0.03    0.14    0.04    1.09    27.3   0.156   0.027   0.932   0.132     2.2    12.0     1.9    22.6     216    2.79    0.22   19.84    2.24     0.3     0.3     0.6     2.2     3.4     3.2     3.7     3.7     3.0     2.2     10.     29.     45.     42.     32.     10.      9.     25.     10.      6.     0.0     0.0     0.1     0.3     0.5     0.5     0.6     0.6     0.3     0.1     0.3     0.3     0.6     1.9     2.9     2.7     3.1     3.2     2.7     2.1     0.0     0.1     0.1     0.2     0.3     0.3     0.4     0.4     0.2     0.1
 1974 333    29    0.03    0.15    0.04    1.11    27.5   0.159   0.027   0.949   0.134     2.0    11.0     1.7    20.0     192    2.50    0.19   17.50    1.98     0.0     0.0     0.9     2.3     3.2     2.8     3.3     3.2     2.5     1.9      7.     24.     39.     38.     29.      9.      8.     24.      9.      5.     0.0     0.0     0.1     0.3     0.5     0.4     0.5     0.5     0.3     0.1     0.0     0.0     0.8     2.1     2.7     2.4     2.8     2.8     2.2     1.7     0.0     0.1     0.1     0.2     0.3     0.3     0.3     0.4     0.2     0.1
 1974 334    30    0.03    0.16    0.04    1.13    27.7   0.161   0.028   0.969   0.136     2.0    11.2     1.7    22.1     178    2.74    0.18   19.40    2.05     0.0     0.0     1.7     3.6     3.9     3.0     3.2     3.0     2.2     1.6      7.     19.     35.     35.     28.      9.      8.     23.      9.      5.     0.0     0.0     0.1     0.4     0.6     0.5     0.5     0.4     0.2     0.1     0.0     0.0     1.6     3.2     3.4     2.5     2.7     2.5     2.0     1.5     0.0     0.0     0.2     0.3     0.4     0.3     0.3     0.3     0.2     0.1
 1974 335    31    0.03    0.17    0.04    1.14    27.9   0.163   0.028   0.979   0.137     2.5    13.6     2.0    12.1     194    1.51    0.19   10.63    1.41     0.0     0.0     0.8     1.7     1.9     1.4     1.6     2.9     1.1     0.8     10.     23.     36.     39.     31.      9.      9.     23.      9.      6.     0.0     0.0     0.1     0.2     0.3     0.2     0.2     0.4     0.1     0.1     0.0     0.0     0.7     1.5     1.6     1.2     1.3     2.5     1.0     0.7     0.0     0.1     0.1     0.2     0.2     0.2     0.2     0.3     0.1     0.0
 1974 336    32    0.04    0.19    0.05    1.15    28.1   0.164   0.028   0.990   0.139     2.7    14.4     2.1    12.6     195    1.56    0.19   11.07    1.46     0.0     0.0     0.8     2.0     2.3     1.6     1.7     2.2     1.3     0.8     11.     24.     36.     39.     30.      9.      9.     23.      9.      6.     0.0     0.0     0.1     0.3     0.3     0.3     0.3     0.3     0.1     0.1     0.0     0.0     0.7     1.8     2.0     1.4     1.4     1.9     1.1     0.7     0.0     0.1     0.1     0.2     0.2     0.2     0.2     0.3     0.1     0.0
 1974 337    33    0.04    0.20    0.05    1.16    28.3   0.165   0.028   0.998   0.140     2.9    15.4     2.2     8.5     211    1.03    0.21    7.43    1.15     0.0     0.0     0.4     1.0     1.1     0.8     0.8     2.2     1.3     0.8     12.     25.     38.     44.     34.     10.      9.     24.      9.      6.     0.0     0.0     0.1     0.2     0.2     0.1     0.1     0.3     0.1     0.1     0.0     0.0     0.4     0.9     1.0     0.7     0.7     1.9     1.1     0.7     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.3     0.1     0.0
 1974 338    34    0.04    0.22    0.05    1.17    28.5   0.166   0.028   1.005   0.141     3.0    15.9     2.2     8.4     215    1.03    0.21    7.42    1.16     0.0     0.1     0.2     1.0     1.1     0.8     0.8     2.2     1.3     0.8     11.     24.     39.     46.     35.     10.     10.     24.      9.      6.     0.0     0.0     0.1     0.2     0.2     0.1     0.1     0.3     0.1     0.1     0.0     0.1     0.2     0.9     1.0     0.7     0.7     1.9     1.2     0.8     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.3     0.1     0.0
 1974 339    35    0.04    0.23    0.05    1.18    28.7   0.167   0.029   1.012   0.142     3.1    16.1     2.2     7.7     218    0.95    0.22    6.77    1.13     0.0     0.0     0.1     0.9     1.0     0.8     0.8     2.1     1.2     0.8     21.     20.     37.     46.     35.     10.      9.     24.      9.      7.     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.3     0.1     0.1     0.0     0.0     0.1     0.8     0.9     0.6     0.6     1.8     1.1     0.7     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.3     0.1     0.0
 1974 340    36    0.05    0.25    0.05    1.19    28.9   0.168   0.029   1.018   0.143     3.1    16.2     2.2     6.8     200    0.85    0.20    5.98    1.00     0.0     0.0     0.1     0.8     0.9     0.7     0.7     1.9     1.1     0.7     11.     26.     32.     43.     33.      9.      8.     22.      9.      6.     0.0     0.0     0.0     0.1     0.2     0.1     0.1     0.3     0.1     0.1     0.0     0.0     0.1     0.7     0.8     0.6     0.6     1.6     1.0     0.7     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.0
 1974 341    37    0.05    0.27    0.06    1.19    29.1   0.169   0.029   1.023   0.144     3.1    16.1     2.1     6.1     167    0.76    0.17    5.38    0.82     0.0     0.0     0.0     0.7     0.8     0.6     0.6     1.7     1.0     0.7      0.     16.     29.     40.     31.      8.      8.     21.      9.      6.     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.3     0.1     0.1     0.0     0.0     0.0     0.6     0.7     0.5     0.5     1.5     0.9     0.6     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.0
 1974 342    38    0.05    0.28    0.06    1.20    29.2   0.170   0.029   1.028   0.145     3.1    16.1     2.1     5.5     160    0.68    0.16    4.79    0.74     0.0     0.0     0.0     0.6     0.7     0.5     0.5     1.6     0.9     0.6      0.      7.     39.     37.     29.      7.      7.     19.      8.      6.     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.2     0.1     0.0     0.0     0.0     0.0     0.5     0.6     0.4     0.5     1.3     0.8     0.6     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.0
 1974 343    39    0.06    0.30    0.06    1.20    29.4   0.170   0.029   1.033   0.146     3.1    15.6     2.0     5.3     139    0.66    0.14    4.64    0.68     0.0     0.0     0.0     0.6     0.7     0.5     0.5     1.5     0.9     0.6      0.      0.     32.     35.     27.      7.      6.     18.      8.      6.     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.2     0.1     0.0     0.0     0.0     0.0     0.5     0.6     0.4     0.4     1.3     0.8     0.6     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.0
 1974 344    40    0.06    0.31    0.06    1.21    29.5   0.171   0.030   1.037   0.146     3.1    15.8     2.0     4.8     125    0.59    0.13    4.16    0.61     0.0     0.0     0.0     0.5     0.6     0.4     0.5     1.4     0.8     0.6      0.      0.     27.     32.     25.      6.      6.     17.      7.      6.     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.2     0.1     0.0     0.0     0.0     0.0     0.4     0.5     0.4     0.4     1.2     0.7     0.5     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.1     0.0
 1974 345    41    0.06    0.32    0.06    1.22    29.6   0.172   0.030   1.046   0.147     2.2    11.2     1.4    10.3      97    1.32    0.10    9.03    1.05     0.0     0.0     0.0     3.0     2.2     1.1     0.8     2.0     0.8     0.5      0.      0.     12.     25.     21.      5.      5.     15.      7.      6.     0.0     0.0     0.0     0.4     0.3     0.2     0.1     0.3     0.1     0.0     0.0     0.0     0.0     2.7     1.9     0.9     0.6     1.7     0.7     0.5     0.0     0.0     0.0     0.2     0.2     0.1     0.1     0.2     0.1     0.0
 1974 346    42    0.06    0.33    0.07    1.24    29.7   0.175   0.030   1.061   0.149     2.2    11.0     1.4    18.0      79    2.30    0.08   15.66    1.55     0.0     0.0     0.0     5.6     4.6     2.3     1.6     1.6     1.8     0.5      0.      0.      9.     19.     17.      4.      4.     14.      6.      6.     0.0     0.0     0.0     0.6     0.7     0.3     0.2     0.2     0.2     0.0     0.0     0.0     0.0     4.9     4.0     2.0     1.3     1.4     1.6     0.5     0.0     0.0     0.0     0.3     0.4     0.2     0.2     0.2     0.2     0.0
 1974 347    43    0.07    0.35    0.07    1.26    29.7   0.178   0.030   1.084   0.151     2.1    10.6     1.3    26.3      65    3.41    0.06   22.89    2.00     0.1     0.0     0.0     7.6     7.3     4.0     2.9     2.1     1.6     0.7      0.      0.      8.     14.     13.      3.      4.     12.      6.      5.     0.0     0.0     0.0     0.9     1.0     0.6     0.5     0.3     0.2     0.1     0.1     0.0     0.0     6.8     6.3     3.4     2.4     1.8     1.4     0.7     0.0     0.0     0.0     0.4     0.5     0.4     0.3     0.2     0.1     0.0
